Date,Price,Open,High,Low,Vol.,Change %
12/29/2021,31406.8,31128.5,31923.6,30691.2,11.48M,0.0064
12/30/2021,32917.5,31764.6,32997,31406.8,17.30M,0.0481
12/31/2021,32599.4,33315,33315,32360.9,9.05M,-0.0097
1/4/2022,32997,32639.2,33553.6,32599.4,12.66M,0.0122
1/5/2022,32639.2,32997,33712.6,32639.2,16.19M,-0.0108
1/6/2022,32281.4,32519.9,33036.8,32201.9,13.89M,-0.0110
1/7/2022,31804.3,32003.1,32480.2,31685.1,15.00M,-0.0148
1/10/2022,30691.2,31605.6,32042.9,30691.2,27.87M,-0.0350
1/11/2022,29021.5,31406.8,31406.8,29021.5,24.51M,-0.0544
1/12/2022,30373.1,28822.7,30492.4,28623.9,19.67M,0.0466
1/13/2022,28981.7,30571.9,30770.7,28703.4,14.44M,-0.0458
1/14/2022,28623.9,28623.9,29339.5,28623.9,9.30M,-0.0123
1/17/2022,26636.1,28623.9,28782.9,26636.1,38.87M,-0.0694
1/18/2022,24807.4,25880.8,26238.6,24807.4,25.09M,-0.0687
1/19/2022,26516.9,25642.3,26516.9,25324.2,14.10M,0.0689
1/20/2022,26954.2,26636.1,27630,25761.5,12.99M,0.0165
1/21/2022,26159.1,26914.4,26914.4,26119.3,8.23M,-0.0295
1/24/2022,24330.3,25403.7,25761.5,24330.3,26.68M,-0.0699
1/25/2022,24926.7,24091.8,25045.9,23495.4,10.01M,0.0245
1/26/2022,25006.2,25045.9,25602.5,24449.6,11.23M,0.0032
1/27/2022,25841,24807.4,26556.6,24688.1,10.63M,0.0334
1/28/2022,27431.2,25841,27431.2,25761.5,11.62M,0.0615
2/7/2022,27987.8,27749.3,28544.4,27510.8,10.00M,0.0203
2/8/2022,27828.8,28027.6,28027.6,27113.2,6.73M,-0.0057
2/9/2022,28623.9,27828.8,28981.7,27630,12.46M,0.0286
2/10/2022,28226.3,28584.2,28902.2,27868.6,6.70M,-0.0139
2/11/2022,28425.1,28067.3,28703.4,27908.3,7.86M,0.0070
2/14/2022,27033.7,27709.5,28226.3,27033.7,11.15M,-0.0490
2/15/2022,27948.1,27431.2,28067.3,26834.9,10.10M,0.0338
2/16/2022,28425.1,28226.3,29021.5,28027.6,6.78M,0.0171
2/17/2022,28266.1,28425.1,28584.2,28107.1,6.24M,-0.0056
2/18/2022,28663.7,27868.6,28981.7,27749.3,11.88M,0.0141
2/21/2022,29856.3,28862.4,30214.1,28822.7,14.23M,0.0416
2/22/2022,29220.2,29299.7,29737.1,28822.7,11.19M,-0.0213
2/23/2022,29578,29458.8,29776.8,29339.5,5.75M,0.0122
2/24/2022,30214.1,29458.8,30770.7,28623.9,23.67M,0.0215
2/25/2022,31049,30611.7,32201.9,30452.7,27.44M,0.0276
2/28/2022,31327.3,31605.6,31923.6,30969.5,14.76M,0.0090
3/1/2022,31208,31486.3,31685.1,30929.7,16.12M,-0.0038
3/2/2022,30174.4,30850.2,31128.5,30015.3,24.88M,-0.0331
3/3/2022,30532.2,30333.4,30571.9,29856.3,10.40M,0.0119
3/4/2022,30611.7,30810.4,31367,30611.7,11.32M,0.0026
